StateIndex,SetMasterSwitch=OFF,SetMasterSwitch=ON,SetPlugZ1=OFF,SetPlugZ1=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
5493,0.00,0.00,0.00,19.10,0.00,-0.55,0.00,-0.05,0.00,-0.05,0.00,0.00,0.00,0.00,0.00
5496,0.00,0.00,0.00,0.00,0.00,0.00,8.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5497,-0.05,0.00,0.00,0.00,1.53,0.00,0.00,0.00,0.00,-0.05,0.00,0.00,0.00,0.00,0.00
5761,0.00,0.00,1.03,0.20,1.06,0.00,0.00,0.20,0.00,0.00,11.57,0.00,0.00,0.00,0.00
5762,0.00,0.55,0.00,0.20,0.38,2.00,0.34,0.38,0.00,0.38,0.00,0.00,-1.62,0.64,0.00
5763,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-10.14,0.00,0.00
5764,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.89,0.00,0.00,0.00
5765,0.20,1.12,0.20,0.00,0.00,0.00,0.31,0.22,0.45,0.00,0.00,13.85,0.00,0.00,0.20
5766,2.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5767,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.00,0.00,0.00,0.00
5768,0.20,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.20,0.00,5.93,0.00,0.00,0.00,0.00
5769,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.17,0.00,0.00,0.00
5770,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.54,0.00,0.00,0.00,0.00,0.00,0.59,0.00
5771,0.20,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,1.04,0.00,0.00,0.00
5772,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.83,0.00,0.00,0.00
5773,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.54,0.00,0.00,0.00,0.00,0.00
5774,0.00,0.00,0.00,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.61,0.00
5775,0.46,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5792,0.00,0.00,0.20,0.20,0.00,0.20,0.20,0.20,0.00,0.00,0.00,0.20,-10.11,0.00,0.20
5793,0.00,0.00,0.20,0.20,0.20,0.00,0.00,0.00,0.00,0.00,2.59,0.00,0.00,0.00,0.00
5796,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.46,0.00
5797,0.20,0.60,0.20,0.20,0.00,0.00,0.00,0.00,1.02,0.00,13.82,0.00,-10.09,0.81,0.00
5800,0.20,0.83,0.20,0.00,0.20,0.00,0.00,0.00,0.00,0.20,0.00,0.00,-10.14,0.00,0.00
5801,0.20,0.00,0.00,0.00,0.00,1.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00
5804,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.37,0.00,0.00,0.00,0.00,0.00
5805,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,1.37,0.00,0.00,0.00,0.00,0.00
