StateIndex,SetPlugZ1=OFF,SetPlugZ1=ON,SetPlugZ2=OFF,SetPlugZ2=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
5229,0.00,0.00,0.00,0.00,0.00,-0.55,0.00,0.00,-0.05,18.95,0.00,0.00,0.00,0.00,0.00
5232,-0.05,16.54,0.00,-0.55,-4.14,0.00,0.00,-0.09,0.00,0.00,0.00,-0.55,-0.55,0.00,0.00
5233,-0.05,0.00,-0.55,-0.55,25.54,0.00,-0.05,-0.05,0.00,-0.05,0.00,0.00,0.00,-0.55,-0.30
5236,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,0.00,0.00,0.00,0.00,0.00,0.00,41.16,0.00
5237,-0.05,-0.05,-0.55,0.00,-0.55,0.00,-0.05,0.00,0.00,0.00,0.00,0.00,-0.55,19.10,-0.30
5240,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65.46,-0.55,-0.55,-0.55,-0.55,0.00
5241,3.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.30
5245,-0.05,0.00,0.00,0.00,-0.55,-0.55,-0.05,-0.05,-0.05,0.00,0.00,0.00,-0.55,0.00,0.00
5264,0.00,-0.05,0.00,47.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.55,0.00,-0.30
5265,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,-0.05,0.00,0.00,0.00,0.00,0.00
5266,0.00,0.00,-0.55,0.00,0.00,-0.55,0.00,27.24,-0.05,0.00,-0.55,0.00,0.00,-0.55,0.00
5267,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.05,-0.05,0.00,0.00,0.00,0.00,0.00,0.00
5272,0.00,0.00,0.00,61.56,0.00,0.00,0.00,0.00,0.00,0.00,-0.55,0.00,0.00,0.00,0.00
5273,0.00,0.00,-0.55,0.00,0.00,-0.55,0.00,0.00,-0.05,65.46,0.00,-0.55,0.00,0.00,0.00
5274,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.05,0.00,0.00,0.00
5275,0.00,0.00,0.00,19.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.30
5282,0.00,0.00,-0.55,41.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5290,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.22,0.00,8.50,-0.55,0.00
5297,0.00,0.00,-0.55,0.00,0.00,-0.55,-0.05,0.00,0.00,0.00,-0.55,-0.55,0.00,0.00,0.00
5305,0.00,0.00,-0.55,0.00,0.00,0.00,0.00,0.00,0.00,19.10,0.00,-0.55,0.00,0.00,0.00
5314,0.00,0.00,0.00,52.43,-0.55,0.00,-4.14,0.00,0.00,0.00,0.00,0.00,0.00,-0.55,0.00
5322,7.71,0.00,0.00,0.00,0.00,0.00,-4.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.30
5328,-0.05,0.00,-0.55,19.10,0.00,0.00,0.00,0.00,0.00,0.00,-0.55,-0.55,0.00,0.00,0.00
5336,-0.05,0.00,-0.55,0.00,-4.14,-0.55,0.00,-0.05,0.00,0.00,0.00,0.00,-0.55,0.00,0.00
5345,0.00,0.00,0.00,69.91,0.00,0.00,-2.09,0.00,0.00,0.00,-1.91,0.00,-0.58,0.00,-0.30
5353,0.00,-0.05,-0.55,10.05,-0.55,-0.55,-2.11,-0.05,-0.05,0.00,-2.11,-0.55,-0.55,-0.55,0.00
5360,0.00,0.00,0.00,52.43,0.00,0.00,0.00,-0.05,0.00,0.00,-0.55,0.00,0.00,0.00,-0.30
5361,0.00,0.00,0.00,10.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5368,0.00,0.00,-0.55,10.05,0.00,0.00,0.00,0.00,0.00,0.00,-0.55,0.00,0.00,0.00,0.00
5369,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.55,-0.55,0.00
5392,-0.05,10.05,-0.55,-0.55,-4.14,-0.55,-0.05,-0.05,-0.05,-0.05,-0.55,-0.55,-0.55,-0.55,-0.30
5393,0.00,0.00,0.00,0.00,-4.14,0.00,-0.05,0.00,0.00,-0.05,0.00,0.00,-0.55,0.00,-0.30
5394,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,0.00,0.00,0.00,0.00,19.10,0.00,0.00,0.00
5395,0.00,27.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.05,0.00,0.00,0.00
